mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
4955,65,102,35,6,3,11,5,7,11
5235,87,61,38,8,1,12,1,9,12
5018,41,30,78,4,2,9,2,5,8
5237,81,82,38,5,2,9,2,4,9
5236,64,70,51,6,3,16,2,2,9
5229,0,0,0,0,0,0,0,0,0
5234,87,111,17,5,2,8,3,4,10
5231,88,78,33,2,0,9,2,6,7
5232,79,96,32,5,5,17,3,7,6
5233,82,66,49,4,1,12,1,3,8
5203,87,93,25,5,0,12,2,2,5
5204,105,57,35,4,0,8,5,2,8
5230,61,91,49,2,0,6,3,2,10
5201,98,70,26,7,1,4,2,9,7
5200,104,72,34,11,4,7,2,7,8
5207,94,76,28,7,2,8,3,2,6
5199,116,75,32,1,3,11,4,4,10
5228,81,87,43,9,3,9,2,2,13
5206,112,68,27,5,0,12,2,8,10
5227,80,94,35,10,5,7,2,7,10
5208,103,75,29,4,1,5,2,3,7
5202,86,90,27,4,2,11,4,5,10
5205,91,76,34,3,1,11,2,1,11
5225,90,92,33,11,0,12,4,5,8
5222,106,85,27,7,1,8,1,1,4
5226,67,75,48,8,1,14,1,4,5
5224,88,103,24,8,0,14,3,6,7
4946,83,90,38,8,6,20,2,5,3
4948,72,88,44,8,4,10,3,13,5
4947,78,94,36,5,3,17,4,7,7
5223,65,71,28,4,5,15,5,4,13
4951,67,80,47,11,2,15,1,8,7
4953,74,85,33,7,3,12,6,11,6
4954,73,99,24,6,3,9,4,3,9
4952,87,90,28,8,3,5,6,12,13
5114,74,112,35,4,5,22,1,3,4
5112,96,91,39,8,2,12,1,2,8
5113,76,93,39,3,2,19,3,9,6
5109,75,105,35,0,4,16,5,11,10
5108,95,97,31,3,4,13,1,5,13
5084,76,98,42,3,3,15,1,6,10
5122,94,94,46,0,1,13,3,3,8
5063,132,70,33,2,1,10,3,6,2
5123,97,79,40,3,1,9,4,9,4
5121,75,109,30,2,2,22,0,5,12
5111,85,114,28,0,2,13,4,4,4
5051,74,101,51,2,3,4,1,4,3
5124,88,86,32,4,1,14,2,5,9
5174,102,85,36,2,1,13,4,2,7
5110,94,94,32,3,1,18,4,8,5
5052,99,98,32,3,1,11,5,6,7
5049,88,72,39,2,1,12,2,6,12
5045,0,0,0,0,0,0,0,0,0
5050,77,94,45,3,1,17,1,5,4
5048,83,99,45,3,2,11,4,3,4
5044,69,115,28,1,3,20,3,0,6
5173,75,99,44,3,2,12,6,4,5
5047,83,92,47,3,3,23,2,2,7
5042,62,130,47,1,1,12,1,4,4
5171,101,75,49,4,4,9,1,4,10
5046,85,101,32,8,0,7,4,8,9
5158,95,78,28,4,4,10,3,0,10
5043,72,106,36,5,2,9,6,5,9
5157,97,94,38,8,1,11,2,1,4
5041,79,106,33,2,3,14,6,2,5
5155,85,95,33,5,0,12,6,8,8
5159,79,123,25,2,2,6,3,3,8
5156,72,106,36,5,2,8,1,4,10
5172,74,108,43,2,1,11,6,0,12
5170,95,74,38,5,1,6,8,5,11
5154,78,107,43,5,4,9,0,6,13
5153,81,106,33,2,3,11,8,9,4
5152,74,107,31,0,0,14,2,3,6
5147,75,101,35,6,0,14,0,5,10
5148,99,73,29,4,2,4,3,10,5
5146,92,95,33,0,1,14,4,4,11
5150,78,102,46,4,6,7,0,5,12
5143,84,97,37,1,1,13,4,4,11
5144,90,103,47,2,1,16,4,3,17
5145,98,79,35,4,5,12,2,7,8
5081,74,92,38,5,2,11,2,3,5
5149,90,104,30,5,5,15,4,2,9
5079,86,88,40,5,6,17,0,10,18
5082,95,81,37,6,3,24,5,11,1
5151,76,100,29,3,2,15,4,5,7
5076,81,114,30,4,0,9,3,6,10
5080,103,91,31,2,0,8,4,8,12
5083,79,120,35,3,5,11,4,2,8
5078,72,113,36,0,3,11,5,5,7
5077,98,82,40,1,1,13,2,6,9
5075,75,104,30,2,1,22,8,3,9
5073,111,88,40,4,2,11,4,4,9
5072,81,89,39,5,4,16,6,6,8
5071,68,99,43,4,1,15,4,4,8
5069,0,0,0,0,0,0,0,0,0
5068,0,0,0,0,0,0,0,0,0
5074,75,103,39,1,3,17,3,2,9
5067,77,90,45,3,3,18,2,7,6
5070,77,108,56,7,1,12,2,6,5
5065,70,108,35,3,3,15,2,7,7
5115,71,102,42,3,6,14,1,4,8
5066,87,97,40,5,4,16,2,6,2
5064,82,93,43,3,1,12,2,5,7
5120,102,96,46,1,5,15,3,3,7
5097,70,117,30,2,2,10,1,4,7
5116,83,92,42,6,2,12,5,2,8
5117,104,89,31,3,3,12,6,3,10
5119,73,94,44,2,2,9,1,12,7
5098,86,98,29,3,3,15,3,5,6
5118,98,88,34,4,2,8,4,8,8
5096,109,92,37,5,0,11,3,4,4
5094,61,101,47,2,2,20,1,5,11
5089,77,100,37,1,0,8,4,3,8
5093,97,91,29,5,4,12,1,4,5
5091,79,87,40,0,0,15,5,6,9
5095,68,93,32,3,1,16,6,0,8
5092,114,82,24,9,5,10,1,10,5
5087,94,80,50,5,5,6,4,4,7
5085,102,99,30,3,5,10,2,4,10
5086,100,88,39,4,1,10,4,6,8
5088,112,87,37,4,1,10,5,5,5
5090,64,114,30,2,1,16,4,5,13
5105,99,84,41,4,5,14,6,2,4
5107,98,83,33,5,4,11,1,11,6
5103,82,103,28,5,2,14,6,4,5
5106,92,93,28,4,4,11,2,14,7
5104,96,73,34,3,1,16,2,4,10
5141,82,87,49,4,4,17,2,2,6
5100,96,83,33,7,3,14,10,11,9
5099,87,98,37,6,2,17,4,2,7
5102,90,85,34,4,1,14,3,5,13
5139,134,54,25,3,3,16,2,10,10
5137,121,72,40,6,1,8,9,1,10
5142,83,103,39,4,1,12,4,7,7
5101,98,84,38,1,2,13,6,9,3
